# H(T)  Ro(Ohm)  R(H)(Ohm)  EMR(%)
-1.0000  4.566481e-02  1.926633e+02  421807.6449
-0.9000  4.566481e-02  1.770328e+02  387578.7809
-0.8000  4.566481e-02  1.592243e+02  348580.5528
-0.7000  4.566481e-02  1.389533e+02  304189.7561
-0.6000  4.566481e-02  1.159233e+02  253756.8749
-0.5000  4.566481e-02  9.014798e+01  197312.3450
-0.4000  4.566481e-02  6.255273e+01  136882.3375
-0.3000  4.566481e-02  3.532942e+01  77266.8266
-0.2000  4.566481e-02  1.310378e+01  28595.5745
-0.1000  4.566481e-02  1.874180e+00  4004.2114
0.0000  4.566481e-02  4.566481e-02  0.0000
0.1000  4.566481e-02  1.874180e+00  4004.2114
0.2000  4.566481e-02  1.310378e+01  28595.5745
0.3000  4.566481e-02  3.532942e+01  77266.8266
0.4000  4.566481e-02  6.255273e+01  136882.3375
0.5000  4.566481e-02  9.014798e+01  197312.3450
0.6000  4.566481e-02  1.159233e+02  253756.8749
0.7000  4.566481e-02  1.389533e+02  304189.7561
0.8000  4.566481e-02  1.592243e+02  348580.5528
0.9000  4.566481e-02  1.770328e+02  387578.7809
1.0000  4.566481e-02  1.926633e+02  421807.6449
